DATE,BAMLC0A2CAA
2014-07-03,0.65
2014-07-04,0.65
2014-07-07,0.64
2014-07-08,0.64
2014-07-09,0.65
2014-07-10,0.65
2014-07-11,0.65
2014-07-14,0.65
2014-07-15,0.65
2014-07-16,0.64
2014-07-17,0.64
2014-07-18,0.64
2014-07-21,0.64
2014-07-22,0.64
2014-07-23,0.65
2014-07-24,0.64
2014-07-25,0.64
2014-07-28,0.64
2014-07-29,0.64
2014-07-30,0.64
2014-07-31,0.65
2014-08-01,0.66
2014-08-04,0.66
2014-08-05,0.66
2014-08-06,0.67
2014-08-07,0.67
2014-08-08,0.67
2014-08-11,0.66
2014-08-12,0.66
2014-08-13,0.67
2014-08-14,0.67
2014-08-15,0.67
2014-08-18,0.67
2014-08-19,0.67
2014-08-20,0.67
2014-08-21,0.67
2014-08-22,0.67
2014-08-25,0.67
2014-08-26,0.66
2014-08-27,0.66
2014-08-28,0.66
2014-08-29,0.66
2014-08-31,0.67
2014-09-01,0.67
2014-09-02,0.67
2014-09-03,0.67
2014-09-04,0.67
2014-09-05,0.68
2014-09-08,0.67
2014-09-09,0.67
2014-09-10,0.68
2014-09-11,0.68
2014-09-12,0.68
2014-09-15,0.68
2014-09-16,0.69
2014-09-17,0.69
2014-09-18,0.68
2014-09-19,0.68
2014-09-22,0.68
2014-09-23,0.68
2014-09-24,0.69
2014-09-25,0.69
2014-09-26,0.70
2014-09-29,0.71
2014-09-30,0.72
2014-10-01,0.73
2014-10-02,0.73
2014-10-03,0.72
2014-10-06,0.71
2014-10-07,0.71
2014-10-08,0.72
2014-10-09,0.72
2014-10-10,0.73
2014-10-13,0.73
2014-10-14,0.73
2014-10-15,0.77
2014-10-16,0.78
2014-10-17,0.77
2014-10-20,0.77
2014-10-21,0.77
2014-10-22,0.77
2014-10-23,0.77
2014-10-24,0.77
2014-10-27,0.76
2014-10-28,0.76
2014-10-29,0.76
2014-10-30,0.76
2014-10-31,0.79
2014-11-03,0.79
2014-11-04,0.79
2014-11-05,0.79
2014-11-06,0.80
2014-11-07,0.80
2014-11-10,0.80
2014-11-11,0.80
2014-11-12,0.80
2014-11-13,0.80
2014-11-14,0.81
2014-11-17,0.81
2014-11-18,0.82
2014-11-19,0.82
2014-11-20,0.83
2014-11-21,0.83
2014-11-24,0.82
2014-11-25,0.82
2014-11-26,0.82
2014-11-27,0.82
2014-11-28,0.81
2014-11-30,0.82
2014-12-01,0.82
2014-12-02,0.82
2014-12-03,0.83
2014-12-04,0.83
2014-12-05,0.82
2014-12-08,0.82
2014-12-09,0.83
2014-12-10,0.84
2014-12-11,0.84
2014-12-12,0.85
2014-12-15,0.86
2014-12-16,0.87
2014-12-17,0.88
2014-12-18,0.86
2014-12-19,0.85
2014-12-22,0.84
2014-12-23,0.84
2014-12-24,0.84
2014-12-25,.
2014-12-26,0.84
2014-12-29,0.83
2014-12-30,0.83
2014-12-31,0.84
2015-01-01,.
2015-01-02,0.84
2015-01-05,0.85
2015-01-06,0.86
2015-01-07,0.87
2015-01-08,0.85
2015-01-09,0.86
2015-01-12,0.86
2015-01-13,0.87
2015-01-14,0.89
2015-01-15,0.90
2015-01-16,.
2015-01-19,0.89
2015-01-20,0.89
2015-01-21,0.89
2015-01-22,0.87
2015-01-23,0.87
2015-01-26,0.86
2015-01-27,0.86
2015-01-28,0.86
2015-01-29,0.86
2015-01-30,0.86
2015-01-31,0.87
2015-02-02,0.87
2015-02-03,0.86
2015-02-04,0.86
2015-02-05,0.85
2015-02-06,0.83
2015-02-09,0.82
2015-02-10,0.82
2015-02-11,0.82
2015-02-12,0.81
2015-02-13,0.81
2015-02-16,0.81
2015-02-17,0.80
2015-02-18,0.79
2015-02-19,0.79
2015-02-20,0.78
2015-02-23,0.77
2015-02-24,0.77
2015-02-25,0.78
2015-02-26,0.77
2015-02-27,0.77
2015-02-28,0.77
2015-03-02,0.77
2015-03-03,0.76
2015-03-04,0.77
2015-03-05,0.77
2015-03-06,0.75
2015-03-09,0.76
2015-03-10,0.77
2015-03-11,0.78
2015-03-12,0.78
2015-03-13,0.79
2015-03-16,0.80
2015-03-17,0.81
2015-03-18,0.82
2015-03-19,0.82
2015-03-20,0.82
2015-03-23,0.82
2015-03-24,0.82
2015-03-25,0.83
2015-03-26,0.83
2015-03-27,0.83
2015-03-30,0.83
2015-03-31,0.84
2015-04-01,0.84
2015-04-02,0.83
2015-04-03,.
2015-04-06,0.83
2015-04-07,0.82
2015-04-08,0.82
2015-04-09,0.81
2015-04-10,0.80
2015-04-13,0.79
2015-04-14,0.80
2015-04-15,0.80
2015-04-16,0.79
2015-04-17,0.80
2015-04-20,0.80
2015-04-21,0.79
2015-04-22,0.78
2015-04-23,0.79
2015-04-24,0.78
2015-04-27,0.79
2015-04-28,0.79
2015-04-29,0.80
2015-04-30,0.81
2015-05-01,0.81
2015-05-04,0.80
2015-05-05,0.81
2015-05-06,0.81
2015-05-07,0.81
2015-05-08,0.81
2015-05-11,0.80
2015-05-12,0.81
2015-05-13,0.81
2015-05-14,0.80
2015-05-15,0.81
2015-05-18,0.80
2015-05-19,0.80
2015-05-20,0.81
2015-05-21,0.82
2015-05-22,0.82
2015-05-25,.
2015-05-26,0.82
2015-05-27,0.83
2015-05-28,0.83
2015-05-29,0.85
2015-05-31,0.87
2015-06-01,0.87
2015-06-02,0.87
2015-06-03,0.87
2015-06-04,0.87
2015-06-05,0.87
2015-06-08,0.86
2015-06-09,0.88
2015-06-10,0.88
2015-06-11,0.88
2015-06-12,0.89
2015-06-15,0.90
2015-06-16,0.91
2015-06-17,0.91
2015-06-18,0.92
2015-06-19,0.92
2015-06-22,0.90
2015-06-23,0.91
2015-06-24,0.91
2015-06-25,0.92
2015-06-26,0.91
2015-06-29,0.93
2015-06-30,0.95
2015-07-01,0.94
2015-07-02,0.93
2015-07-03,0.93
2015-07-06,0.94
2015-07-07,0.95
2015-07-08,0.96
2015-07-09,0.96
2015-07-10,0.95
2015-07-13,0.95
2015-07-14,0.95
2015-07-15,0.96
2015-07-16,0.96
2015-07-17,0.96
2015-07-20,0.96
2015-07-21,0.97
2015-07-22,0.97
2015-07-23,0.97
2015-07-24,0.98
2015-07-27,0.99
2015-07-28,0.99
2015-07-29,0.99
2015-07-30,0.99
2015-07-31,1.00
2015-08-03,1.01
2015-08-04,1.01
2015-08-05,1.01
2015-08-06,1.01
2015-08-07,1.02
2015-08-10,1.03
2015-08-11,1.03
2015-08-12,1.05
2015-08-13,1.05
2015-08-14,1.05
2015-08-17,1.05
2015-08-18,1.05
2015-08-19,1.06
2015-08-20,1.06
2015-08-21,1.07
2015-08-24,1.10
2015-08-25,1.10
2015-08-26,1.10
2015-08-27,1.09
2015-08-28,1.07
2015-08-31,1.08
2015-09-01,1.09
2015-09-02,1.08
2015-09-03,1.07
2015-09-04,1.07
2015-09-07,1.07
2015-09-08,1.06
2015-09-09,1.06
2015-09-10,1.06
2015-09-11,1.07
2015-09-14,1.06
2015-09-15,1.05
2015-09-16,1.05
2015-09-17,1.05
2015-09-18,1.04
2015-09-21,1.03
2015-09-22,1.03
2015-09-23,1.02
2015-09-24,1.03
2015-09-25,1.03
2015-09-28,1.05
2015-09-29,1.06
2015-09-30,1.08
2015-10-01,1.09
2015-10-02,1.10
2015-10-05,1.09
2015-10-06,1.08
2015-10-07,1.07
2015-10-08,1.06
2015-10-09,1.05
2015-10-12,1.05
2015-10-13,1.05
2015-10-14,1.07
2015-10-15,1.05
2015-10-16,1.05
2015-10-19,1.04
2015-10-20,1.03
2015-10-21,1.03
2015-10-22,1.02
2015-10-23,1.01
2015-10-26,1.00
2015-10-27,1.00
2015-10-28,0.99
2015-10-29,0.99
2015-10-30,0.99
2015-10-31,0.99
2015-11-02,0.99
2015-11-03,0.98
2015-11-04,0.97
2015-11-05,0.97
2015-11-06,0.95
2015-11-09,0.95
2015-11-10,0.95
2015-11-11,0.95
2015-11-12,0.95
2015-11-13,0.95
2015-11-16,0.95
2015-11-17,0.94
2015-11-18,0.95
2015-11-19,0.94
2015-11-20,0.94
2015-11-23,0.95
2015-11-24,0.94
2015-11-25,0.93
2015-11-26,0.93
2015-11-27,0.94
2015-11-30,0.92
2015-12-01,0.92
2015-12-02,0.92
2015-12-03,0.91
2015-12-04,0.91
2015-12-07,0.91
2015-12-08,0.92
2015-12-09,0.93
2015-12-10,0.93
2015-12-11,0.96
2015-12-14,0.97
2015-12-15,0.97
2015-12-16,0.96
2015-12-17,0.96
2015-12-18,0.97
2015-12-21,0.97
2015-12-22,0.97
2015-12-23,0.97
2015-12-24,0.96
2015-12-25,.
2015-12-28,0.97
2015-12-29,0.96
2015-12-30,0.96
2015-12-31,0.97
2016-01-01,.
2016-01-04,0.96
2016-01-05,0.95
2016-01-06,0.96
2016-01-07,0.96
2016-01-08,0.97
2016-01-11,0.97
2016-01-12,0.99
2016-01-13,0.98
2016-01-14,1.01
2016-01-15,1.04
2016-01-18,1.04
2016-01-19,1.05
2016-01-20,1.10
2016-01-21,1.11
2016-01-22,1.10
2016-01-25,1.10
2016-01-26,1.12
2016-01-27,1.12
2016-01-28,1.13
2016-01-29,1.14
2016-01-31,1.11
2016-02-01,1.11
2016-02-02,1.14
2016-02-03,1.15
2016-02-04,1.16
2016-02-05,1.16
2016-02-08,1.19
2016-02-09,1.21
2016-02-10,1.21
2016-02-11,1.24
2016-02-12,1.23
2016-02-15,1.23
2016-02-16,1.23
2016-02-17,1.22
2016-02-18,1.22
2016-02-19,1.21
2016-02-22,1.20
2016-02-23,1.20
2016-02-24,1.20
2016-02-25,1.20
2016-02-26,1.18
2016-02-29,1.17
2016-03-01,1.15
2016-03-02,1.14
2016-03-03,1.13
2016-03-04,1.12
2016-03-07,1.11
2016-03-08,1.11
2016-03-09,1.10
2016-03-10,1.07
2016-03-11,1.05
2016-03-14,1.02
2016-03-15,1.01
2016-03-16,1.01
2016-03-17,1.00
2016-03-18,0.99
2016-03-21,0.97
2016-03-22,0.96
2016-03-23,0.95
2016-03-24,0.96
2016-03-25,.
2016-03-28,0.95
2016-03-29,0.95
2016-03-30,0.95
2016-03-31,0.95
2016-04-01,0.94
2016-04-04,0.93
2016-04-05,0.94
2016-04-06,0.93
2016-04-07,0.94
2016-04-08,0.94
2016-04-11,0.94
2016-04-12,0.93
2016-04-13,0.92
2016-04-14,0.91
2016-04-15,0.91
2016-04-18,0.90
2016-04-19,0.89
2016-04-20,0.88
2016-04-21,0.86
2016-04-22,0.86
2016-04-25,0.85
2016-04-26,0.84
2016-04-27,0.85
2016-04-28,0.84
2016-04-29,0.85
2016-04-30,0.85
2016-05-02,0.84
2016-05-03,0.84
2016-05-04,0.85
2016-05-05,0.86
2016-05-06,0.87
2016-05-09,0.87
2016-05-10,0.88
2016-05-11,0.88
2016-05-12,0.88
2016-05-13,0.88
2016-05-16,0.88
2016-05-17,0.88
2016-05-18,0.87
2016-05-19,0.88
2016-05-20,0.88
2016-05-23,0.88
2016-05-24,0.88
2016-05-25,0.87
2016-05-26,0.87
2016-05-27,0.86
2016-05-30,0.86
2016-05-31,0.87
2016-06-01,0.87
2016-06-02,0.87
2016-06-03,0.88
2016-06-06,0.88
2016-06-07,0.88
2016-06-08,0.88
2016-06-09,0.88
2016-06-10,0.89
2016-06-13,0.9
2016-06-14,0.92
2016-06-15,0.93
2016-06-16,0.93
2016-06-17,0.93
2016-06-20,0.91
2016-06-21,0.91
2016-06-22,0.9
2016-06-23,0.89
2016-06-24,0.93
2016-06-27,0.95
2016-06-28,0.95
2016-06-29,0.95
2016-06-30,0.94
2016-07-01,0.93
2016-07-04,0.93
2016-07-05,0.93
2016-07-06,0.93
2016-07-07,0.92
2016-07-08,0.91
2016-07-11,0.9
2016-07-12,0.88
2016-07-13,0.88
2016-07-14,0.86
2016-07-15,0.86
2016-07-18,0.86
2016-07-19,0.86
2016-07-20,0.85
2016-07-21,0.85
2016-07-22,0.84
2016-07-25,0.85
2016-07-26,0.85
2016-07-27,0.86
2016-07-28,0.87
2016-07-29,0.88
2016-07-31,0.88
2016-08-01,0.88
2016-08-02,0.88
2016-08-03,0.89
2016-08-04,0.88
2016-08-05,0.87
2016-08-08,0.86
2016-08-09,0.85
2016-08-10,0.85
2016-08-11,0.85
2016-08-12,0.85
2016-08-15,0.84
2016-08-16,0.83
2016-08-17,0.83
2016-08-18,0.83
2016-08-19,0.81
2016-08-22,0.82
2016-08-23,0.81
2016-08-24,0.81
2016-08-25,0.82
2016-08-26,0.81
2016-08-29,0.81
2016-08-30,0.81
2016-08-31,0.82
2016-09-01,0.82
2016-09-02,0.82
2016-09-05,0.82
2016-09-06,0.82
2016-09-07,0.83
2016-09-08,0.83
2016-09-09,0.84
2016-09-12,0.84
2016-09-13,0.85
2016-09-14,0.86
2016-09-15,0.86
2016-09-16,0.86
2016-09-19,0.85
2016-09-20,0.85
2016-09-21,0.86
2016-09-22,0.85
2016-09-23,0.85
2016-09-26,0.86
2016-09-27,0.86
2016-09-28,0.87
2016-09-29,0.87
2016-09-30,0.87
2016-10-03,0.87
2016-10-04,0.86
2016-10-05,0.86
2016-10-06,0.85
2016-10-07,0.84
2016-10-10,0.84
2016-10-11,0.84
2016-10-12,0.84
2016-10-13,0.84
2016-10-14,0.84
2016-10-17,0.84
2016-10-18,0.83
2016-10-19,0.82
2016-10-20,0.83
2016-10-21,0.83
2016-10-24,0.83
2016-10-25,0.83
2016-10-26,0.84
2016-10-27,0.85
2016-10-28,0.85
2016-10-31,0.86
2016-11-01,0.86
2016-11-02,0.87
2016-11-03,0.87
2016-11-04,0.87
2016-11-07,0.86
2016-11-08,0.85
2016-11-09,0.85
2016-11-10,0.83
2016-11-11,0.83
2016-11-14,0.82
2016-11-15,0.82
2016-11-16,0.82
2016-11-17,0.82
2016-11-18,0.83
2016-11-21,0.84
2016-11-22,0.84
2016-11-23,0.84
2016-11-24,0.84
2016-11-25,0.84
2016-11-28,0.83
2016-11-29,0.84
2016-11-30,0.84
2016-12-01,0.83
2016-12-02,0.83
2016-12-05,0.82
2016-12-06,0.82
2016-12-07,0.82
2016-12-08,0.82
2016-12-09,0.81
2016-12-12,0.82
2016-12-13,0.81
2016-12-14,0.81
2016-12-15,0.81
2016-12-16,0.81
2016-12-19,0.81
2016-12-20,0.8
2016-12-21,0.8
2016-12-22,0.8
2016-12-23,0.8
2016-12-26,.
2016-12-27,0.8
2016-12-28,0.79
2016-12-29,0.79
2016-12-30,0.8
2016-12-31,0.8
2017-01-02,.
2017-01-03,0.79
2017-01-04,0.79
2017-01-05,0.79
2017-01-06,0.79
2017-01-09,0.8
2017-01-10,0.8
2017-01-11,0.8
2017-01-12,0.79
2017-01-13,0.79
2017-01-16,0.79
2017-01-17,0.8
2017-01-18,0.8
2017-01-19,0.8
2017-01-20,0.79
2017-01-23,0.8
2017-01-24,0.79
2017-01-25,0.79
2017-01-26,0.78
2017-01-27,0.78
2017-01-30,0.78
2017-01-31,0.79
2017-02-01,0.8
2017-02-02,0.8
2017-02-03,0.79
2017-02-06,0.79
2017-02-07,0.79
2017-02-08,0.8
2017-02-09,0.79
2017-02-10,0.79
2017-02-13,0.78
2017-02-14,0.77
2017-02-15,0.76
2017-02-16,0.76
2017-02-17,0.76
2017-02-20,0.76
2017-02-21,0.76
2017-02-22,0.76
2017-02-23,0.76
2017-02-24,0.76
2017-02-27,0.75
2017-02-28,0.74
2017-03-01,0.73
2017-03-02,0.72
2017-03-03,0.72
2017-03-06,0.72
2017-03-07,0.72
2017-03-08,0.73
2017-03-09,0.74
2017-03-10,0.74
2017-03-13,0.74
2017-03-14,0.75
2017-03-15,0.75
2017-03-16,0.75
2017-03-17,0.75
2017-03-20,0.75
2017-03-21,0.75
2017-03-22,0.75
2017-03-23,0.75
2017-03-24,0.75
2017-03-27,0.76
2017-03-28,0.75
2017-03-29,0.75
2017-03-30,0.75
2017-03-31,0.76
2017-04-03,0.76
2017-04-04,0.76
2017-04-05,0.76
2017-04-06,0.76
2017-04-07,0.75
2017-04-10,0.75
2017-04-11,0.76
2017-04-12,0.76
2017-04-13,0.76
2017-04-14,.
2017-04-17,0.76
2017-04-18,0.77
2017-04-19,0.77
2017-04-20,0.76
2017-04-21,0.76
2017-04-24,0.76
2017-04-25,0.75
2017-04-26,0.75
2017-04-27,0.74
2017-04-28,0.74
2017-04-30,0.77
2017-05-01,0.76
2017-05-02,0.76
2017-05-03,0.75
2017-05-04,0.75
2017-05-05,0.75
2017-05-08,0.75
2017-05-09,0.74
2017-05-10,0.74
2017-05-11,0.73
2017-05-12,0.73
2017-05-15,0.73
2017-05-16,0.72
2017-05-17,0.73
2017-05-18,0.73
2017-05-19,0.73
2017-05-22,0.73
2017-05-23,0.73
2017-05-24,0.74
2017-05-25,0.74
2017-05-26,0.73
2017-05-29,0.73
2017-05-30,0.73
2017-05-31,0.74
2017-06-01,0.74
2017-06-02,0.74
2017-06-05,0.74
2017-06-06,0.74
2017-06-07,0.74
2017-06-08,0.74
2017-06-09,0.74
2017-06-12,0.73
2017-06-13,0.73
2017-06-14,0.73
2017-06-15,0.73
2017-06-16,0.73
2017-06-19,0.72
2017-06-20,0.72
2017-06-21,0.72
2017-06-22,0.73
2017-06-23,0.72
2017-06-26,0.72
2017-06-27,0.72
2017-06-28,0.71
2017-06-29,0.71
2017-06-30,0.71
2017-07-03,0.7
2017-07-04,0.7
2017-07-05,0.7
2017-07-06,0.69
2017-07-07,0.69
2017-07-10,0.69
2017-07-11,0.68
2017-07-12,0.68
2017-07-13,0.67
2017-07-14,0.67
2017-07-17,0.67
2017-07-18,0.67
2017-07-19,0.66
2017-07-20,0.66
2017-07-21,0.66
2017-07-24,0.66
2017-07-25,0.66
2017-07-26,0.66
2017-07-27,0.65
2017-07-28,0.65
2017-07-31,0.66
2017-08-01,0.66
2017-08-02,0.66
2017-08-03,0.66
2017-08-04,0.66
2017-08-07,0.66
2017-08-08,0.67
2017-08-09,0.68
2017-08-10,0.7
2017-08-11,0.71
2017-08-14,0.7
2017-08-15,0.7
2017-08-16,0.69
2017-08-17,0.69
2017-08-18,0.7
2017-08-21,0.7
2017-08-22,0.7
2017-08-23,0.7
2017-08-24,0.69
2017-08-25,0.69
2017-08-28,0.7
2017-08-29,0.7
2017-08-30,0.7
2017-08-31,0.7
2017-09-01,0.7
2017-09-04,0.7
2017-09-05,0.7
2017-09-06,0.71
2017-09-07,0.72
2017-09-08,0.72
2017-09-11,0.72
2017-09-12,0.71
2017-09-13,0.71
2017-09-14,0.7
2017-09-15,0.69
2017-09-18,0.69
2017-09-19,0.68
2017-09-20,0.68
2017-09-21,0.68
2017-09-22,0.67
2017-09-25,0.67
2017-09-26,0.67
2017-09-27,0.66
2017-09-28,0.65
2017-09-29,0.64
2017-09-30,0.64
2017-10-02,0.63
2017-10-03,0.62
2017-10-04,0.62
2017-10-05,0.62
2017-10-06,0.62
2017-10-09,0.62
2017-10-10,0.61
2017-10-11,0.60
2017-10-12,0.61
2017-10-13,0.61
2017-10-16,0.60
2017-10-17,0.60
2017-10-18,0.60
2017-10-19,0.60
2017-10-20,0.59
2017-10-23,0.59
2017-10-24,0.59
2017-10-25,0.59
2017-10-26,0.59
2017-10-27,0.58
2017-10-30,0.58
2017-10-31,0.58
2017-11-01,0.59
2017-11-02,0.59
2017-11-03,0.59
2017-11-06,0.60
2017-11-07,0.61
2017-11-08,0.61
2017-11-09,0.62
2017-11-10,0.63
2017-11-13,0.62
2017-11-14,0.63
2017-11-15,0.64
2017-11-16,0.64
2017-11-17,0.63
2017-11-20,0.63
2017-11-21,0.62
2017-11-22,0.62
2017-11-23,0.62
2017-11-24,0.62
2017-11-27,0.62
2017-11-28,0.62
2017-11-29,0.61
2017-11-30,0.59
2017-12-01,0.59
2017-12-04,0.58
2017-12-05,0.58
2017-12-06,0.58
2017-12-07,0.58
2017-12-08,0.58
2017-12-11,0.58
2017-12-12,0.57
2017-12-13,0.57
2017-12-14,0.57
2017-12-15,0.57
2017-12-18,0.57
2017-12-19,0.56
2017-12-20,0.56
2017-12-21,0.56
2017-12-22,0.56
2017-12-25,.
2017-12-26,0.56
2017-12-27,0.56
2017-12-28,0.55
2017-12-29,0.55
2017-12-31,0.56
2018-01-01,.
2018-01-02,0.56
2018-01-03,0.56
2018-01-04,0.56
2018-01-05,0.55
2018-01-08,0.55
2018-01-09,0.55
2018-01-10,0.54
2018-01-11,0.54
2018-01-12,0.53
2018-01-15,0.53
2018-01-16,0.53
2018-01-17,0.54
2018-01-18,0.54
2018-01-19,0.54
2018-01-22,0.54
2018-01-23,0.54
2018-01-24,0.54
2018-01-25,0.54
2018-01-26,0.53
2018-01-29,0.53
2018-01-30,0.53
2018-01-31,0.53
2018-02-01,0.52
2018-02-02,0.51
2018-02-05,0.52
2018-02-06,0.53
2018-02-07,0.53
2018-02-08,0.54
2018-02-09,0.56
2018-02-12,0.56
2018-02-13,0.59
2018-02-14,0.58
2018-02-15,0.58
2018-02-16,0.59
2018-02-19,0.59
2018-02-20,0.59
2018-02-21,0.59
2018-02-22,0.60
2018-02-23,0.60
2018-02-26,0.60
2018-02-27,0.60
2018-02-28,0.62
2018-03-01,0.63
2018-03-02,0.64
2018-03-05,0.65
2018-03-06,0.64
2018-03-07,0.64
2018-03-08,0.65
2018-03-09,0.65
2018-03-12,0.66
2018-03-13,0.67
2018-03-14,0.68
2018-03-15,0.68
2018-03-16,0.68
2018-03-19,0.69
2018-03-20,0.69
2018-03-21,0.69
2018-03-22,0.71
2018-03-23,0.72
2018-03-26,0.73
2018-03-27,0.72
2018-03-28,0.72
2018-03-29,0.72
2018-03-30,.
2018-03-31,0.74
2018-04-02,0.74
2018-04-03,0.73
2018-04-04,0.73
2018-04-05,0.71
2018-04-06,0.71
2018-04-09,0.70
2018-04-10,0.69
2018-04-11,0.69
2018-04-12,0.68
2018-04-13,0.68
2018-04-16,0.67
2018-04-17,0.67
2018-04-18,0.67
2018-04-19,0.66
2018-04-20,0.66
2018-04-23,0.67
2018-04-24,0.67
2018-04-25,0.67
2018-04-26,0.67
2018-04-27,0.67
2018-04-30,0.68
2018-05-01,0.69
2018-05-02,0.69
2018-05-03,0.69
2018-05-04,0.69
2018-05-07,0.69
2018-05-08,0.69
2018-05-09,0.68
2018-05-10,0.68
2018-05-11,0.67
2018-05-14,0.67
2018-05-15,0.66
2018-05-16,0.66
2018-05-17,0.66
2018-05-18,0.66
2018-05-21,0.67
2018-05-22,0.66
2018-05-23,0.67
2018-05-24,0.67
2018-05-25,0.67
2018-05-28,0.67
2018-05-29,0.69
2018-05-30,0.70
2018-05-31,0.72
2018-06-01,0.71
2018-06-04,0.71
2018-06-05,0.72
2018-06-06,0.71
2018-06-07,0.72
2018-06-08,0.72
2018-06-11,0.72
2018-06-12,0.72
2018-06-13,0.72
2018-06-14,0.72
2018-06-15,0.72
2018-06-18,0.73
2018-06-19,0.73
2018-06-20,0.74
2018-06-21,0.76
2018-06-22,0.77
2018-06-25,0.78
2018-06-26,0.78
2018-06-27,0.78
2018-06-28,0.78
2018-06-29,0.78
2018-06-30,0.78
2018-07-02,0.78
2018-07-03,0.78
2018-07-04,0.78
2018-07-05,0.77
2018-07-06,0.77
2018-07-09,0.76
2018-07-10,0.75
2018-07-11,0.75
2018-07-12,0.75
2018-07-13,0.74
2018-07-16,0.74
2018-07-17,0.74
2018-07-18,0.73
2018-07-19,0.73
2018-07-20,0.73
2018-07-23,0.72
2018-07-24,0.71
2018-07-25,0.70
2018-07-26,0.69
2018-07-27,0.68
2018-07-30,0.69
2018-07-31,0.68
2018-08-01,0.67
2018-08-02,0.67
2018-08-03,0.66
2018-08-06,0.66
2018-08-07,0.65
2018-08-08,0.66
2018-08-09,0.66
2018-08-10,0.67
2018-08-13,0.68
2018-08-14,0.68
2018-08-15,0.68
2018-08-16,0.68
2018-08-17,0.67
2018-08-20,0.67
2018-08-21,0.67
2018-08-22,0.67
2018-08-23,0.68
2018-08-24,0.68
2018-08-27,0.67
2018-08-28,0.67
2018-08-29,0.67
2018-08-30,0.67
2018-08-31,0.68
2018-09-03,0.69
2018-09-04,0.69
2018-09-05,0.68
2018-09-06,0.68
2018-09-07,0.68
2018-09-10,0.68
2018-09-11,0.67
2018-09-12,0.67
2018-09-13,0.66
2018-09-14,0.65
2018-09-17,0.65
2018-09-18,0.64
2018-09-19,0.64
2018-09-20,0.62
2018-09-21,0.62
2018-09-24,0.63
2018-09-25,0.62
2018-09-26,0.62
2018-09-27,0.62
2018-09-28,0.61
2018-09-30,0.62
2018-10-01,0.63
2018-10-02,0.62
2018-10-03,0.61
2018-10-04,0.62
2018-10-05,0.62
2018-10-08,0.63
2018-10-09,0.63
2018-10-10,0.62
2018-10-11,0.65
2018-10-12,0.65
2018-10-15,0.64
2018-10-16,0.64
2018-10-17,0.65
2018-10-18,0.65
2018-10-19,0.66
2018-10-22,0.66
2018-10-23,0.68
2018-10-24,0.66
2018-10-25,0.69
2018-10-26,0.69
2018-10-29,0.69
2018-10-30,0.70
2018-10-31,0.70
2018-11-01,0.70
2018-11-02,0.69
2018-11-05,0.70
2018-11-06,0.69
2018-11-07,0.68
2018-11-08,0.67
2018-11-09,0.67
2018-11-12,0.67
2018-11-13,0.69
2018-11-14,0.71
2018-11-15,0.73
2018-11-16,0.73
2018-11-19,0.75
2018-11-20,0.76
2018-11-21,0.76
2018-11-22,0.76
2018-11-23,0.76
2018-11-26,0.76
2018-11-27,0.77
2018-11-28,0.78
2018-11-29,0.78
